"burchtID";"Jaar";"status";"bewoning";"Gebied"
280;2017;"Bijburcht";"Bewoond";"Haspengouw"
281;2017;"Bijburcht";"Bewoond";"Haspengouw"
281;2016;"Bijburcht";"Bewoond";"Haspengouw"
282;2016;"Bijburcht";"Bewoond";"Haspengouw"
283;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
283;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
284;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
285;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
286;2016;"Hoofdburcht";"Niet_bewoond";"Haspengouw"
286;2017;"Bijburcht";"Bewoond";"Haspengouw"
286;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
287;2018;"Bijburcht";"Bewoond";"Haspengouw"
288;2018;"Bijburcht";"Bewoond";"Haspengouw"
289;2016;"Verdwenen";"Ongekend";"Haspengouw"
290;2016;"Verdwenen";"Ongekend";"Haspengouw"
291;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
291;2017;"Verdwenen";"Ongekend";"Haspengouw"
292;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
292;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
293;2018;"Bijburcht";"Bewoond";"Haspengouw"
294;2018;"Bijburcht";"Ongekend";"Haspengouw"
295;2018;"Bijburcht";"Ongekend";"Haspengouw"
296;2018;"Bijburcht";"Ongekend";"Haspengouw"
297;2016;"Ongekend";"Niet_bewoond";"Haspengouw"
298;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
298;2016;"Hoofdburcht";"Niet_bewoond";"Haspengouw"
298;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
299;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
299;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
300;2017;"Bijburcht";"Niet_bewoond";"Haspengouw"
301;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
301;2018;"Verdwenen";"Ongekend";"Haspengouw"
302;2018;"Verdwenen";"Ongekend";"Haspengouw"
302;2017;"Bijburcht";"Niet_bewoond";"Haspengouw"
302;2016;"Ongekend";"Ongekend";"Haspengouw"
303;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
304;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
305;2018;"Bijburcht";"Ongekend";"Haspengouw"
305;2016;"Verdwenen";"Ongekend";"Haspengouw"
305;2017;"Verdwenen";"Niet_bewoond";"Haspengouw"
306;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
306;2017;"Hoofdburcht";"Ongekend";"Haspengouw"
306;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
307;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
308;2018;"Verdwenen";"Ongekend";"Haspengouw"
308;2016;"Ongekend";"Niet_bewoond";"Haspengouw"
309;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
309;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
309;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
310;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
311;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
312;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
313;2017;"Bijburcht";"Bewoond";"Haspengouw"
314;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
315;2017;"Verdwenen";"Niet_bewoond";"Haspengouw"
316;2017;"Bijburcht";"Bewoond";"Haspengouw"
317;2016;"Hoofdburcht";"Bewoond";"Voeren"
318;2016;"Hoofdburcht";"Bewoond";"Voeren"
319;2016;"Hoofdburcht";"Bewoond";"Voeren"
320;2016;"Hoofdburcht";"Bewoond";"Voeren"
321;2016;"Hoofdburcht";"Bewoond";"Voeren"
322;2016;"Hoofdburcht";"Bewoond";"Voeren"
323;2016;"Hoofdburcht";"Bewoond";"Voeren"
324;2016;"Hoofdburcht";"Bewoond";"Voeren"
325;2016;"Hoofdburcht";"Bewoond";"Voeren"
326;2016;"Hoofdburcht";"Bewoond";"Voeren"
327;2016;"Hoofdburcht";"Bewoond";"Voeren"
328;2016;"Hoofdburcht";"Bewoond";"Voeren"
329;2016;"Hoofdburcht";"Bewoond";"Voeren"
330;2016;"Hoofdburcht";"Bewoond";"Voeren"
331;2016;"Hoofdburcht";"Bewoond";"Voeren"
332;2016;"Hoofdburcht";"Bewoond";"Voeren"
333;2016;"Hoofdburcht";"Bewoond";"Voeren"
334;2016;"Hoofdburcht";"Bewoond";"Voeren"
335;2016;"Hoofdburcht";"Bewoond";"Voeren"
336;2016;"Hoofdburcht";"Bewoond";"Voeren"
337;2016;"Hoofdburcht";"Bewoond";"Voeren"
338;2016;"Hoofdburcht";"Bewoond";"Voeren"
339;2016;"Hoofdburcht";"Bewoond";"Voeren"
340;2016;"Hoofdburcht";"Bewoond";"Voeren"
341;2016;"Hoofdburcht";"Bewoond";"Voeren"
